Arguments: (WindowsPath('C:/mt5system/terminals/49ff88b0-c07d-4a26-a861-7771feb5d77e'),)
2026-02-28 02:45:45,221 [INFO] [provisioner] Portable mode marker created: C:\mt5system\terminals\49ff88b0-c07d-4a26-a861-7771feb5d77e\portable
2026-02-28 02:45:45,222 [INFO] [provisioner] Terminal provisioned successfully: C:\mt5system\terminals\49ff88b0-c07d-4a26-a861-7771feb5d77e
2026-02-28 02:45:46,137 [INFO] HTTP Request: GET https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_user_connections?select=%2A&is_active=eq.True "HTTP/2 200 OK"
2026-02-28 02:45:46,507 [INFO] HTTP Request: POST https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_worker_heartbeats?on_conflict=connection_id "HTTP/2 201 Created"
2026-02-28 02:45:46,784 [INFO] HTTP Request: GET https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_user_connections?select=id&id=eq.49ff88b0-c07d-4a26-a861-7771feb5d77e&limit=1 "HTTP/2 200 OK"
2026-02-28 02:45:46,784 [INFO] MT5 init attempt 1/3 ...
2026-02-28 02:45:55,686 [INFO] MT5 init attempt 2/3 ...
2026-02-28 02:46:00,701 [INFO] MT5 init attempt 3/3 ...
2026-02-28 02:46:05,716 [ERROR] MT5 failed to initialize after 3 attempts. Cooling down.
2026-02-28 02:46:06,038 [INFO] HTTP Request: POST https://agipjfxfdygfilriffxv.supabase.co/rest/v1/rpc/log_mt5_runtime_event "HTTP/2 204 No Content"
2026-02-28 02:46:06,039 [ERROR] [worker][49ff88b0-c07d-4a26-a861-7771feb5d77e] MT5 init failed after 3 attempts | details=None
2026-02-28 02:46:06,261 [INFO] HTTP Request: GET https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_user_connections?select=id&id=eq.49ff88b0-c07d-4a26-a861-7771feb5d77e&limit=1 "HTTP/2 200 OK"
2026-02-28 02:46:06,528 [INFO] HTTP Request: POST https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_worker_heartbeats?on_conflict=connection_id "HTTP/2 200 OK"
2026-02-28 02:46:36,726 [INFO] === Worker starting for connection 49ff88b0-c07d-4a26-a861-7771feb5d77e ===
2026-02-28 02:46:37,595 [INFO] HTTP Request: GET https://agipjfxfdygfilriffxv.supabase.co/rest/v1/mt5_user_connections?select=%2A&is_active=eq.True "HTTP/2 200 OK"
